Feature,Coefficient,Odds_Contribution
home_ownership_WoE,-0.9505701073744164,0.3865206023828498
sub_grade_WoE,-0.7201756996113445,0.4866667412904455
term_WoE,-0.5377491541414784,0.5840614061633873
installment_WoE,-0.5008474981833025,0.6060168438401731
annual_inc_WoE,-0.4689054398933603,0.625686745364439
dti_WoE,-0.46225971461261645,0.6298587351801479
inq_last_6mths_WoE,-0.41134880264375795,0.6627557203321032
verification_status_WoE,-0.27371637605041926,0.7605477542314754
revol_util_WoE,-0.03026100094260485,0.9701922794007287
int_rate_WoE,-0.020754541239188056,0.979459351944453
loan_amnt_WoE,0.0680407443349065,1.0704089206898446
purpose_WoE,0.08134381809557974,1.0847437870028864
